Brand,Name,Category,Price,Curl Pattern,Hair Type,Vegan?,"Weight (L,M,H)",Helpful Areas
Hask,Argan Oil Repairing Shine,Oil,3.75,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,"Hydrating, Nourish, Repair"
Rizos Curls,Hydrating Shampoo,Shampoo,22.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,L,"Hydrating, Nourish"
Rizos Curls,Deep Conditioner,Conditioner,22.00,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,L,"Hydrating, Nourish"
Not Your Mother's,Defining Shampoo,Shampoo,8.50,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,Definition
Not Your Mother's,Defining Conditioner,Conditioner,8.50,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",Yes,M,Definition
Marc Anthony,Strictly Curls Curl Envy,Curl Cream,9.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Hydrating, Nourish"
Uncle Funky's Daughter,Magic Curl Simulator,Curl Cream,22.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Hydrating, Nourish"
Pantene,Pro-V Curl Sculpting Gel,Gel,6.49,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,Definition
Maui Moisture,Coconut Oil Curl Quench Smoothie,Curl Cream,8.69,"3B, 3C","Medium, Thick",Yes,M,"Hydrating, Nourish"
As I Am,Curling Jelly Definer,Gel,12.99,"3A, 3B, 3C, 4A, 4B, 4C","Medium, Thick",Yes,M,Definition
Curls,Creme Brule Whipped Curl Cream,Curl Cream,14.59,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,L,"Definition, Hydrating, Nourish"
Herbal Essences,Apricot Oil Sulfate Free Curl Define Shampoo,Shampoo,9.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Definition, Hydrating, Nourish"
Herbal Essences,Apricot Oil Sulfate Free Curl Define Conditioner,Conditioner,9.99,"2A, 2B, 2C, 3A, 3B, 3C, 4A, 4B, 4C","Thin, Medium, Thick",No,M,"Definition, Hydrating, Nourish"
